text,emotion
i feel rather funny ending with so many dupes while i always prefer originals,fun
i feel surprised by the result,surprise
i am officially feeling festive,neutral
i suddenly found myself standing before this woman dressed like a priestess with white robes and egyptian jewellery long black hair and realized that i was feeling amorous and passionate and noticed to my surprise that my breath was green i was breathing out clouds of green energy,surprise
i look at the meager pile of food i purchased for the week i am feeling pretty apprehensive,enthusiasm
"I, for one, am thrilled that Christ works outside of our time-line. He is so faithful. And sovereign",happiness
i hate that she has the power to make me feel such ugly things,hate
i feel like i missed it,neutral
i have personally experienced this gut wrenching feeling and kicked myself later for making those dumb mistakes that result when anxiety gets in the way,sadness
i hate feeling that people see me as ugly but i know i ve got something good to offer that is much more important than looks and that can attract the right person under the right circumstances,hate
"Branson was nonplussed by Elliott 's refusal ; in fact , it constituted the perfect challenge .",surprise
i dont know why but i had the impression that i would feel empty inside but i didnt,empty
i joined as a favor to my buddy and out of my curiosity to see if the product or service could produce respectable site visitors not simply because i feel the mlm structure itself will be worthwhile,neutral
i am feeling irritated and empty and lost today,empty
ive become in a mere years yeah right o but i really just feel so eager for it all,enthusiasm
i wanna feel absolutely lovely,love
i started to feel shaky like i was about to have an anxiety attack,sadness
Mala Rodriguez is on Rome Santos album? she's a beast! I love her music,surprise
i always feel like i am hated among my friends,hate
i was working with one of my heroes so it was a combination of feeling intimidated excited and thrilled,enthusiasm
i feel reassured by the content and consult my authorised dealer list provided to me at cannon showroom earlier bingo,happiness
i will never forget it i was feeling funny,fun
im not sure how i feel about it yet but we did go for a ride around the yard and gracie liked it,neutral
Once I had to go home on foot at 5 a.m. I had to pass through a forest and I was going alone.,sadness
i wasn t still grossed out over you letting some random guy feel you up i would be shocked that you re actually talking intelligently,surprise
That sucks,sadness
i cant help but feel bitchy but i think we as women have been made to feel by society that if we are honest and speak our minds then we are being a b,neutral
My mommy doesn't know yet I'm comin home today instead of tomorrow,surprise
i like my boss i feel he is funny,fun
i had glanced through grey at target feeling a little excited that i d have the time to read what had become an overnight sensation on my twitter feed in may,enthusiasm
